"País","DensidadPob","PobUrbana","PobRural","CrecimientoPobUrb","Puntuación","Proceso electoraly pluralismo","Funcionamientodel gobierno","Culturapolítica","Continente","2019_infl","2019_med","Alfabetizacion","Desempleo","Gasto Publico","Maestros Capacitados","Poblacion Activa"
"Níger",17.7176505881424,16.425,83.575,4.27453510164545,3.76,5.25,1.14,4.38,"África",1.88900444138625,NA,NA,0.470999985933304,4.9198,0.470999985933304,4.00745489116896e-317
"Nigeria",215.064988965381,50.344,49.656,4.2388468031755,4.44,6.08,4.64,3.75,"África",-0.37972244679122,NA,62.01601,8.24300003051758,NA,8.24300003051758,2.88553166013051e-316
"Noruega",14.5482916341657,82.248,17.752,1.11953281162056,9.87,10,9.64,10,"Europa",0.474165156577328,NA,NA,3.79999995231628,NA,3.79999995231628,1.38336305759836e-317
"Omán",15.6041453957997,84.539,15.461,4.60993724709811,3.04,0,3.93,4.38,"Asia",-2.43931510561035,NA,95.65153,2.86400008201599,NA,2.86400008201599,1.33474946837582e-317
"Países Bajos",511.475927574948,91.49,8.51,1.03637503912155,8.89,9.58,9.29,8.13,"Europa",1.21591708038524,NA,NA,3.82999992370605,NA,3.82999992370605,4.55920862994992e-317
"Pakistán",275.289318700706,36.666,63.334,2.66867436174866,4.25,6.08,5.36,2.5,"Asia",-1.03979867523373,NA,NA,4.08300018310547,NA,4.08300018310547,3.55929066118741e-316
"Panamá",56.1860774818402,67.709,32.291,2.20194448885616,7.05,9.58,6.07,5,"América",1.31891833917265,NA,95.41181,3.89400005340576,NA,3.89400005340576,1.00285543605985e-317
"Paraguay",17.5083589227284,61.585,38.415,1.751686209917,6.24,8.75,5.71,4.38,"América",-1.28673598517732,NA,94.0208,4.53399991989136,NA,4.53399991989136,1.74647858027197e-317
"Perú",24.99160625,77.907,22.093,1.95856462555465,6.6,9.17,5,5.63,"América",0.512493735175681,NA,94.40827,3.39000010490417,3.71993,3.39000010490417,9.06448060740899e-317
"Polonia",124.023482151605,60.058,39.942,-0.0784280352345459,6.62,9.17,6.07,4.38,"Europa",4.15765490056548,NA,NA,3.84500002861023,NA,3.84500002861023,9.08652038180433e-317
"Portugal",112.2619412173,65.211,34.789,0.700805447488415,7.84,9.58,7.5,6.88,"Europa",2.3077104852582,NA,96.13759,6.99300003051758,NA,6.99300003051758,2.60251302242283e-317
"Reino Unido",274.708981936924,83.398,16.602,0.912161082441796,8.53,9.58,7.5,8.13,"Europa",0.841074871356099,NA,NA,3.99600005149841,NA,3.99600005149841,1.69608946733796e-316
"República Centroafricana",7.49041221227006,41.364,58.636,2.45173611360753,1.32,1.25,0,1.88,"África",1.26014601439419,NA,37.39582,3.66400003433228,NA,3.66400003433228,9.24446723999202e-318
"República Dominicana",219.97857586421,81.074,18.926,2.06676245726519,6.54,9.17,5.36,5,"América",3.9932141584159,NA,NA,5.73899984359741,NA,5.73899984359741,2.42954755673285e-317
"Senegal",82.3474783150678,47.192,52.808,3.74433871194062,6.15,7.5,6.07,6.25,"África",2.4159365405914,NA,NA,6.52699995040894,4.65201,6.52699995040894,2.0365405684202e-317
